Date,ITB,IYZ,XLY,XLP,IYT,PHO,DBA,DBB,VNQ,LQD
11/07/2016,28.62215,30.516571,76.529991,49.590569,131.45697,23.587172,20.962896,12.921165,75.852844,107.971695
12/07/2016,28.661303,30.721859,76.832008,49.323475,134.393036,23.685122,20.982378,13.230655,75.84446,107.362587
13/07/2016,28.612366,30.882521,76.454498,49.599468,135.267197,23.69492,21.118752,13.240326,76.263985,107.780273
14/07/2016,28.543839,30.891438,76.765915,49.590569,136.749451,23.753689,21.216166,13.308026,75.584343,107.519196
15/07/2016,28.553629,30.927149,76.426186,49.590569,136.217377,23.753689,20.787556,13.279012,75.60952,107.110184
18/07/2016,28.680885,30.695076,76.718727,49.537144,136.036819,23.685122,20.953154,13.279012,75.810898,107.110184
19/07/2016,28.592781,30.409462,76.577164,49.50153,135.87532,23.675325,20.514803,13.337042,76.180092,107.301666
20/07/2016,28.827715,30.329128,76.898071,49.323475,135.83728,23.773283,20.271275,13.240326,76.188484,107.266846
21/07/2016,28.739616,29.873928,76.690445,49.181019,133.984436,23.616558,20.193344,13.249997,76.339531,107.38868
22/07/2016,28.817921,30.659378,77.011314,49.41251,135.799301,23.832054,20.193344,13.230655,77.01078,107.327782
25/07/2016,28.866871,30.820034,77.134018,49.359081,134.535553,23.616558,20.261534,13.220983,76.868134,107.266846
26/07/2016,29.082218,30.757559,77.039612,48.97625,135.989319,23.881025,20.183603,13.114596,76.49054,107.162453
27/07/2016,28.925598,30.677229,76.803673,48.246185,134.117477,23.861441,20.105675,12.921165,75.894791,107.606224
28/07/2016,28.954966,30.409462,76.945251,48.459869,134.107971,23.910416,19.930334,13.13394,76.599625,107.501816
29/07/2016,28.338278,30.766487,77.03019,48.700253,133.756393,23.949598,20.056971,13.279012,77.57296,107.893394
01/08/2016,28.406797,30.596899,77.152878,48.75367,133.205292,23.832054,20.008266,13.220983,77.740761,107.285286
02/08/2016,27.995672,30.016745,76.00148,48.682442,130.421265,23.636145,19.940075,13.259669,76.498947,106.683296
03/08/2016,28.18166,30.070288,76.218567,48.415363,131.53299,23.616558,20.027748,13.308026,76.054214,106.822876
04/08/2016,28.044619,30.025661,76.180794,48.522186,131.742004,23.724302,20.115417,13.182297,75.743767,107.27655
05/08/2016,28.328489,29.811451,76.983002,48.602325,134.317017,23.890821,20.378428,13.259669,75.794113,106.840347
08/08/2016,28.211025,29.695417,76.72818,48.548897,134.269485,23.851641,20.388168,13.269341,75.928368,106.910141
09/08/2016,28.230604,29.731117,76.501686,48.700253,133.737396,23.881025,20.300499,13.21131,76.339531,107.538284
10/08/2016,28.132713,29.507982,76.662125,48.878319,133.195786,23.920212,20.173864,13.269341,76.255592,107.843666
